Keys,Definitions
kơ'ngŭnh,of children to be quiet and good; to sit hunched over
kơnh,"later on today, in a little while later, on future"
kơnhŏng,the top part of an object
kơnhrao,of a person to be tall and lean
kơ'nhon,to sway as when bracing oneself to stand on tiptoes
kơpah,one side
kơpaih,cotton
kơpal,"above, on top of, on"
kơpăt,"fruit used to wash, kill lice, poison fish"
kơpen,loincloth
kơphe,coffee
kơpǐt,"to crush, press down with hand "
kơplah,"during that time, at that time"
kơpoh,a type of fruit
kơpô,carabao
kơpu,"squeeze by rolling, wash hair"
kơrăn,different sections of the skin of a snake
kơrôm,"the underpart of a house, bed"
kơsaǐ,"to sprinkle, splash water on"
kơse,even though
kơseh,sneeze
kơseng,of bamboo to die
kơsep,to pinch
kơsĕ,not yet ripe
kosĕnh,"to twist, to make strong"
kơsǐ,"negative no, it's not true"
kơsoh,to spit
kơsŏk,dirty water
kơsỡ,afternoon
kơtah,"to jump, to dive into water"
kơtak,cackle of hen
kơtam,large crab
kơtang,"to be strong, courageous, powerful"
kơtao,sugarcane
kơtăn,right at the place
kơtăn,small-sized fruits or vegetables
kơten,the border on a loincloth 
kơtĕch,of string to break
kơtĕch jơhngỡm,to die
kơtha,"to lack, to be slightly cracked chipped"
kơthao,tub
kơthơ,"letter, written communication"
kơthŭng,"pail, large can"
kơtih,"to be unsettled, wanting to do something but afraid"
kơting,bone
kơtǐ,to move circularly in threshing rice
kơtǐt,to crush e.g. car crushing person
kơtol,of eggplant to not be thoroughly cooked
kơtong,"the kick of a horse, cow"
kơtonh,fern
kotŏng,one of three types of local deer
kơtôch,"piece of wood that has been burned black, charred"
kơtơh,chest
kơtơh ăng,have children and all die
kơtơih,stumble
kơtơm,owner
kơtơp,pigeon 
kơtỡ,bamboo comb
kotỡk,sticky
kơtỡn,threshold
kơtỡng,to hear
kơtu,"old abandoned village, site of old village"
kơtua,bridge
kơtuang,to trip someone with foot
kơtuăl,"spool, clod of earth"
kơtuh,"cabinet, wardrobe"
kơtul,"stupid, not intelligent"
kơtum,relatives
kơtum kơtŏng,intensive of kơtum
kơwim,type of smoking pipe
kơwữ,"thick paper, cloth, lips"
kỡl,head
kỡm,"taboo, prohibited"
kỡm-kang,polite form of kỡm
kỡng,spleen
kỡng,to weigh
kỡp,a moment
kỡt,to tie animals so that they can feed
kỡt,of heart to stop beating
krai,a very flexible tree used to make spring traps and housepots
kram,the large type of bamboo
krang,upward slope
krang krĕl,constipation (from swallowing seeds)
kranh,stomach pain
krao,to call
kră,old--of people and living things
"krăk, 'long krăk",a tree with black wood that is very hard
krăl,poison from tree used to put on arrows
krăm,to sink in water 
kreh,to scratch scab of sore
"kreh, 'long kreh",an instrument used to keep thread in weaving even 
kreo-kreo,noise of crying
krep kơkrep,noise of person crying; noise of blowing on something 
kret,"to be greedy, not give in return when given to"
krĕ,"of people to grow slowly, be shorter than people one's age while still growing"
krĕch,to almost hit something 
krĕng,reddish black berry
krĕo,to castrate 
krê,to be very frightened 
krênh,to tie well (over and over)
kring,hornbill
krip krip,to describe someone crying
krǐp,to grab hard and quickly
kro,of trees and plants to be dead dried up
kroǐ kroǐ,noise of person eating hard crunchy food
kron,"to keep in enclosure, imprison"
krong,river
krŏch,to get hungry for when seeing someone else eat
krŏk krŏk,noise of child drinking
krŏu,to poison fish
"krô, krô krô",often
krôh,back basket with the opening on the side rather than at the top used to carry belongings
krôǐ,orange 
krông krang,"up and down, mountainous"
krônh krônh,noise of one person crying
krônh kranh,noise of loud prolonged crying
krôp,to embrace to warm baby by holding
krơt krơt,"the noise of someone teeth being cut, filed "
krỡ,the noise of something rubbing together
krỡk krỡk,"to describe the pain of fish bone in throat, thorn in foot"
kruih,to designate taking or stealing something
kruǐ kruǐ,noise of someone eating fruit
krŭk krŭk,noise of adult or animal drinking
krưh,expression used when one wants to give all his strength to something at one moment
krưp,"scary, frightening, out of the ordinary"
kuaih,"to dig up, scratch around for"
kuak,sound of tearing paper
kual,"to wind up rope, to put away, to turn handle "
kuan ,"mandarin, official"
kuang,inside part of leg
kuă,to not want to do
kuăl,of a dog to bark
kuăn,to hold firmly around the waist
kuăng,"fast, quickly, to get up early"
kuăt,to remember well
kue,lame
kueng,a section of the village
kueng,corner of house
kuer,to drill holes
kuĕk,"to dig out, twist out"
kuĕl,curve in road
kuĕnh,black type of monkey with long legs and arms
kuĕo,to hold fingers as promise or token not to lie
kuễ,cinnamon
kuh kuh,bark of dog
kuǐp,to describe the way a bird eats
kul,dark colors
"ladder, basically",ladder--basically the traditional ladder made of one wedged pole 
kung bơbe,ladder with rungs 
kung kuch,expression used in hide-and-go-seek to draw attention to your hiding place 
kuơch,"to beckon, call by hand, give signal by hand or head"
kuơk,sound of cloth tearing 
kuỡl,"to be lost, people only"
kŭk,large rock
kŭp,to bow head
Kŭr,"Khmer, Cambodians"
kưt,frog-toad family
kưt kơpô,large edible frog 
kưt trŏl,"a frog with long legs, yellow, edible "
kưt pôi,like but smaller also edible 
kưt tơroi,an edible frog that noise 
kưt kĕng,small yellow edible frog with large cheeks
kưt đak,small frog that lives in the water 
kưt adrŏk,toad
kữ,"keep on doing, do anyway"
kữ-kă,"to do with no purpose, uninhibitedly, without reason, to be licentious "
kơkữ-kơkă,emphatic of kữ-kă
kữm,also
la lah,expression of desire
la-yơ,when 
ưh kơ la-yơ,never
lach,scold
lah,"ever, never "
hăm lah,have (you) ever  
ưh kơ lah,(I) have never 
lai ,mound of dirt made from rat digging hole 
lak ,discolored skin with white flaky skin disease
lang,to untie 
Lao,"Laotian, Laos"
bơngai Lao,Laotian people
lao-lao don,to be bored of 
lap ,tired 
lar ,to open 
lat ,flat 
lat ,flat stone 
lă,"to bring up from throat or spit out of mouth as bad tasting medicine, seeds"
lăm,in inside 
lăm ,room 
lăm pêng,third grade
lăn,to keep quiet 
lăng,to look at
lănh,"to be quiet, not argue "
lăp,"to fit, be equal to "
lăp don,"to like, want"
lăp,"often precedes numbers seeming to have the idea of ""that much only"" though in some the idea of ""only"" is missing that time when"
lăp,"at that time, when"
lei,"then, therefore ( then in a logical sense not time) "
lei-laǐ,the same 
lek,"profit, value  "
"lek, lek sơnĕnh",to show teeth
pơlek sơnĕnh,to show teeth 
lek,of metals to melt
lem,"to hem a garment, blanket"
len,rehash over and over 
leng gong,early in the morning around two or three o'clock
lep,grasshopper
ler,cricket
lĕ,final particle expressing emphasis (possibly not too polite) 
lĕ,final particle used to call attention to the importance of utterance (may be same as above but to be more polite)
lĕch,to go out 
lĕm,"to keep quiet, stop talking (feeling of shame as well)"
"lêh, năr lêh",holiday 
lêl,"to be worried, afraid "
bơngai lêl,coward 
"lêng ê, ưh kơ lêng ê","not watching out for, not on toes "
lễ,let 
lễ inh năm,let me go (and see about it)
lễ đĕch,"leave it, don't do anything about it "
lễ,may also have the idea of throw away especially when preceded by words meaning to throw out 
liĕl,to stick out tongue 
liĕm,"good, healthy, well, good-looking"
"liĕng, 'ba liĕng",rice that has its full grain 
lin,gums
ling,"completely of one kind, unmixed"
ling-lang,always
līnh,"soldier, army "
liơh,"to taste, lick"
loi,more than 
rai loi,to become more and more
lon,"intermittent, sick one day and not the next "
choh lon,to leave off hoeing one field and go to another
"long, pơlong","to test, try"
"long, mit long ",type of hard jackfruit
lŏk,running water from rain
lŏng,"to shed skin, to skin"
lôch,to die 
lôh,oh!
lôk-đôk,"to sway back and forth, see-saw, go up and down "
lôk-sơlôk,"to become bigger and as dirt in front of plow, waves piling up "
lôm,to roll up
lơ,"many, much"
lơ-lap lơ-lang,intensive of lơ
lơ-leng lơ-lang,intensive of lơ
lơi,"profit, gain"
lơleh,nobody there 
chang lơleh kơ'bôh,waited but nobody came
lơlei,like that 
lơliơ,"why, how, how come"
lơlŏu,like this
lơlôr,to bend down and go through a hole
lơlŭ,to rub against something
lơlŭt,to press through a crowd
lơng,black insect that eats leaves and is edible
lỡk,to unroll 
lỡk sơkok,to unroll a mat
lỡm,"in, inside"
lỡn,clay 
lỡng,a cow or carabao that can have no offspring
lỡp,flood this word to water covering something
lu,pluralizer
lu-la,cockroach
"luăn, luŏn",to swallow  
"luh, luh lăng","to go quickly, to look at"
lui,to believe
lŭk-lum, to cover head with blanket 
"lung, pơlung","to comfort, console, encourage, beg for "
"lŭ, lŭ sa",to have appetite for
lŭch,"the worst, to be at the end "
rai lŭch,to become worse 
lŭk-lŭnh,to describe something turning over and over as log box pencil
lŭn,to be able to fit in 
kơ lŭn,to not able to fit in 
"lŭng, bơngai lŭng",to always miss target when hunting
lŭt,to force into a tight place
lưk-dưk,the stagger of sick animal because one or more of its feet are lame
"""lal",flute 
"""lao",type of bamboo that has thin outside
"""leh",of trap to spring 
"""lĕp-'lĕp",to describe the waving of a flag falling paper 
"""lêng-kơ'lêng",to describe a bird gliding with large wings
"""lêp-'lêp",descriptive of flapping wings of large bird
"""long ","tree, log"
"""lŏ",to grow up (people only)
"""lŏ boih",mature already (in size)
bơngai 'lŏ,young people 
"""lơ'lĕp-'lơ'lônh-mônh",to describe the flapping of the wings of many birds 
'lơ'lŏ,really in truth 
'lơ'lữ,"waving of baby arms, bird's wings to beg for food, to be held"
'lỡng,good beautiful delicious healthy 
'lỡp,young children
ma,younger brother of father or mother
ma lai,person who is alleged to eat people 
mah,enough 
mah,so much that even
"mai, mŏ mai",daughter-in-law
maih,gold
mak klĕng,white in animal forehead
"mak, pơyan puih mak",hot dry season
mam,"metal, iron, steel "
mam chih ,pen 
man ,to shape form with mud cement to build with these materials
mao ,to mourn for dead
mă,a linking word sometimes similar in use to a relative pronoun in English but it also may link two verbs 
pơm mă đunh ,do it for a long time 
mă lei ,but
mă tha,even though
măk ai,"responsibility, blame, fault "
măng,night
măng-mei,firefly
măng-mĕng,small moth 
măr ,to be wild
măt,eye
"măt, măt dêh",expensive
măt,name
măt-meng,moth
me-mo,straw whistle
meo,cat
mĕ,mother
mĕng mĕng,"to miss someone and think about them continually, to wait expectantly for"
mêu,mask to scare people 
mi,in-laws
Mi,American
mih,father's or mother's elder brother 
ming ,"to fix, in some dialects to place, change position of"
ming yang ,"to placate the spirits, term used when sacrifices are made "
mir ,rice field (usually wet rice)
mit,jackfruit
mǐl ,"to hate, have bad attitude toward, be angry with "
mǐm ,wild carabao
mǐnh,one 
mlaǐ,firecracker
mlông,large circular things
tông mlông,balloon
moih,mosquito
mok,to eat grain-like objects by letting them roll into mouth from hand
"mol, lôch mol","to faint, be in coma "
mon ,"nephew, niece "
mong ,"to hold, to contain "
mot ,"to fast, go without eating"
"mot, klak mot",part of digestive system of cow or carabao
mŏ,"daughter-in-law, vocative for daughter"
mŏk,"rice that is nearly ripe that is picked, roasted, pounded and eaten"
mŏm,to suck 
sŏk mŏm,moustache
"mŏng, mŏng chêng",the smallest gong of the chêng set of gongs 
môch,"to submerge oneself in, dive in water "
mônh,one (used when counting in a series without classifiers)
mơdơr,"to not be able to eat thing because dish is dirty, feel nauseated"
mơgrǐ,to be dirty
mơh,cooked rice
mơhơl,to be irritated as when hearing a grating noise
moi,to invite contracted form of ten watermelon mean easily
mơkuei,lizard like iguana
mol,afraid to look at
mơlak-mơlônh,many people doing different things
"mơlĕch, đak mơlĕch",spring where you can see water coming out
mơlôh,of rice to be almost gone
mơlŏu,"shy, bashful, ashamed"
mơlueng,"to describe drunken people talking, not being able to talk straight"
mơlueng-mơluônh-mônh,"emphatic, pluralized form of mơlueng"
mơmai,elder sister
mơmĕng,to be concerned about
mơmil,to be angry
mơmŏ,to crawl
mơmŏng,to describe big stomach from one eating a lot; to describe rounded front of car
mơmơnh,"to grumble, complain, mumble"
mơmreh,"to worry, be concerned about"
mơmŭng,a boil at the stage of almost breaking 
mơn ,"to feel a touch, a bite"
mơnat,"pity, feel sorry for"
mơnă mơnuih,people 
mơni,even though (archaic word)
mă mơni mơna,even though (archaic word)
mơ'nah,"a portion; some (do this), some (do that) "
mơng ,person who is very strong and rich
mơng ,to borrow 
mơngưt-mơngat,describes drunk person walking
monhal,"very bright light or sunshine, bright reflection"
mơsêh,to have supernatural magic
mosêh mơyang,emphatic of mơsêh
"mơsǐ, 'nhĕt mơsǐ",type of grass that grows in the water
mơti,orphan
mơyang,to have supernatural powers
mỡn,also 
mỡng,"to listen to, to feel tired "
gô mỡng kơ ih,it's up to you
"mu, măng mu",to be very dark
muh,nose
muh măt,face
muih,"to clear bush, jungle to make a field"
mum,corner
muơ,termite 
mut,hammer
mŭi,broken of rice grain
mŭk,possessions
mŭl,the corner posts of an individual graveyard
mŭn,pimple
mưh,if when 
mưk,to speak in one's sleep
"ma, gah 'ma",right side
‘mach,chicken lice
‘maih,"to want, desire"
‘mă,to hang on to; climbing or hanging on to tree with arms around tree
‘măn,"to place, put"
‘măng,door opening
‘măng,times
‘bar măng,twice two times
‘măng tăm,immediately
‘me,"to feed, support"
‘meh,"to want, desire "
'mêm,"to value and so in some contexts, to love"
"'mêu, 'mê chơ'mêu",to designate evil-looking face of tiger 
'mễ,"bad, dirty, smelly"
'mễ-'mach,intensive of 'mễ
‘mi,to rain
‘mih,2nd person dual
‘mlaih,to feel sad as when something valuable is lost
'moih,"to want, desire"
‘mong,to pay back debt 
'monh,rope twisted together as opposed to being braided
"'mŏk, 'măng' mŏk",window
‘mŏm,to close mouth on
‘môch,type of ant 
'mơ'mrơk,easy tickling sensation
‘mơn,to reach for
‘mơng,to not want to talk
‘mur,"to hide, conceal"
‘mơǐ,to do first
na,"then, so, now, therefore "
"na, mir na ",rice fields with water 
nai ,"different, other "
nak,cliff
nar,chain
se nar,tank
năm,to go
năng,to look at 
năr,day 
ne,final particle
nĕ,"negative imperative, don't"
ni,final particle indicating emphasis
ning-mônh,the future in the future
ning nai kai ning mônh kơnh,emphatic form of ninh mônh
no,"""There, told you so!"" ""There, see!"""
noh,that there
nŏng,to be diligent do at the best of one's ability
nô,oval-shaped
nôt,basket with small neck
nỗ,to go 
nơ,final particle--huh? 
nơh,no definition given
nơnăm,to walk
nơnoh,like that
nơnǐng,hard to lift
nỡn,one-bite-sized
nỡr,language word
"nu, 'nu nu ",reduplicative form with 'nu 'this' indicating emphasis
"nuih, plei nuih",heart (the physical organ) 
bơngai nuih,a brave person
'naǐ,also
'nao,"new, recent, just performed "
'nă hal,to be happy 
'nă-'nap,to be happy
'năk,trap that spears animals 
'năr,sun; day in some contexts
'nel-'nơ'nel,"to be enthusiastic, never tiring"
'nĕ,"negative imperative, don't "
'nei,that
'nĕk-'nŏk,hiccough
'nĕl-'nơ'nĕl,something trying to get away but unable to 
'ni,that
'nǐt-'nǐt,"to grow steadily, grow quickly"
'noh,that (often referring to something in sight)
"nŏu, 'nâu",this
'nơ'nih,to squirm always be on the go never still
'nôm,to urinate 
klak 'nôm,bladder
nỡm,of a hen to set 
'nu,classifier for people 
'bar 'nu bơngai,two people
'nu,this
'nŭr,to wrap up
ngach,of food to be cold
ngah,of hoe to have too wide of an angle
ngang,"only, completely"
ngar,charcoal
ngăl,"only, completely, every"
ngăn,to keep quiet
ngăp-ngăp,to be very severe with
ngăp-ngơngăp,someone
nge,baby
ngei-ngei,"truly, really, intensive"
ngeng,to obey
nger,"to peek, to put head down"
ngĕng,small red pepper that is very hot
ngĕng,disobedient
ngêh,"to suppose, think, think mistakenly"
ngêng-jơngêng,to designate a long tell tree or log
ngễ,to do before doing something else
ngễ kơ kiơ,why wait? Why?
ngoi,to look up
ngok,to drink continually without a break
ngong,goose
ngor,to describe metallic substance that has been worn away
ngôi,"to play, relax "
chă ngôi,to go out somewhere for enjoyment
ngôi,image in mirror water
ngơk,to put head back
ngơnh,"to praise, be amazed at"
ngơngei,"truly, really, intensive"
ngỡr,"to cause, trouble, destroy"
ngua,to obey
nguan,"tame, gentle"
ngŭi,"very ripe, having reddish color"
ngưih,to eat off from something e.g. corn cob 
ngưp-ngưp,"to be very kind, soft-spoken, well-mannered"
'ngaih,outside 
'ngam,sweet 
'ngang-kơ'ngang,to smirk 
'ngêl-'ngêl,to describe shaking of head
"'ngiĕo, gah 'ngiĕo",left side 
'ngok,brain 
"'ngôch, yuă 'ngôch",to cut hair very close to head  
'ngơn,to peer up over to strain; to see by raising head 
'ngơ'ngĕl,to shake head as a child does 
'ngơ'ngêl,to shake head--of adults and large animals
ngơ'ngot,of trees to rub on each other
'ngơnh,to pull oneself up
'nguaih,cleaned out all the grass; cleaned out of a garden
'nguaih,outside
'ngueng,to sit quietly
'nguênh,to stir when sleeping
'nguơng,to not work to play have pleasure 
'ngưl-tơ'ngưl,to gradually appear from the water
nhah,to hit to do forcefully
"nhah, brih nhah",to pass by
nham,delicious
nhap,"corpse, used before names of people who have died, as to whether honorific or what"
nhă,to drink
nhem,to look at self to see if beautiful
nhen,like as
nhet,type of very small freshwater fish
nhĕch,to dodge to the side 
nhên,clearly
nhi,1st person dual exclusive pronoun
nhĭl-nhĭl,waving back and forth of a light
nhĭn-nhŭn,hammock
nhĭnh,to meet suddenly
nhĭp,of sun to be gone down light out and so dark
nhong,stem of pipe
nhôn,1st person plural exclusive pronoun
nhơk,to shine a light
nhơng,white spot in iris which indicates blindness
nhơnhah,"to hit suddenly, slug"
nhơnhĕk,"to be keen to do something, be eager"
nhơnhĕn,to be nearly cut through
nhơnhĕn-nhơnhônh-mônh,intensive of nhơnhĕn
nhơnhuei,very deep
"nhơnhuh, nhơnhuh-nhơnhah",to be fearful of something sharp
nhơnhŭnh,the middle of the sea 
nhỡk,octopus or possibly some imaginary animal that grabs people in water
nhŭng,pig 
nhŭp,to dive completely under water
nhŭr,to warm oneself by the fire
nhưm,to dye
‘nhao,to wash face 
'nhek,soot 
'nhĕk-'nhĕk,to hear only a little about 
'nhĕm,meat
'nhĕng, to covet 
'nhĕr-'nhĕr,to twitch eyelid
'nhĕt,"grass, weeds"
"nhễ, bơngai 'nhễ",crybaby
'nhik,hoe
'nhik hơdrỡng,hoe with straight blade 
'nhĭp,"to close eyes, to blink"
'nhoi,grape-type fruit that grows on tall trees
'nhot,vegetables
'nhŏ,not even 
'nhŏng,older brother 
'nhơ'nhỡp-'nhỡ'nhăp,"dirty, muddy place"
'nhỡk,electrical magnetism or shock
'nhỡk,to throw something very far 
'nhrong,a long piece of cut bamboo
'nhui,smoke 
'nhut,"to feel a pull, a drop "
'nhŭ,sour
'nhưp,of eyes to keep closing when sleepy
oaih,expression of grief disappointment
oay,expression of grief disappointment
och,to become smaller
oei,"to be at, sit, continue "
oĕt-oĕt,"wag of tail, disobedient"
oh,younger sibling
oh,"interjection, oh "
ok,worm 
om,to lay around because angry
ong,bumblebee
ot,to saw
ŏ,the crow of a rooster
ŏ,"yes, affirmative "
ŏm,happy
ŏng,son-in-law
"ŏu, âu",here this
ô,oh!
ôh,"intensive, often used with negative "
"ôi, plei ôi",guava
ôm,to be rotten stink
ôn,to hide something
ôp,"to wash hands, dishes "
ơ,pre-noun vocative
ơi,vocative post-noun
ơ-ŭr ơ-ăr, the noise of many vehicles
ơh,"grieved, sad, angry "
ơĭ,to have 
ơĭ,used to get someone's attention 
ỡ,to burp 
ỡ-uh,"to feel with, to palpate "
ỡr-yỡr,to describe loud noise 
ỡt,"to hold breath, to fast"
pah,to split 
pah,"part, division "
pah to,on the other side of the river
pai,to cook
"paih, hla paih",dry leaves
paĭ,to run through hair to wash it or dry it
pak,something to do with one person answering another 
pam,small conical fish trap 
pang ,the hand in the abstract sense 
jang 'bar pang ,to work two jobs
pang ,small larva of fly
pao,to say the name of another person 
pap ,to say something over and over often becoming a habit
"pap, 'bỡr pap",of a dying person mouth to move gasping for breath 
pat ,to sharpen
pă,"no more, no longer"
pă,to braid
păk jăl,to choke as a baby does
păk-kê,gecko 
păn ,"to rest, to recuperate, to be sick in bed"
păng,"and, with "
păr, to fly 
păt ,of fire to be put out 
păt ,"to fold, to make tail of arrow"
pe,to want to sit by the fire all the time
peh,to pound rice
pek,description of running ears and inability to hear
pel,"to touch, feel "
"pel lăng, pel năng",interjection 
pet,to pinch someone 
pet,substance made from bee-like insect used as glue or paste 
pĕch,to cut small wood bamboo in two 
pĕch,to dodge
pĕnh,to stretch out cotton to make thread 
pê;,the sound made by the small gong 
pêl,wood cut off straight
pêng,three
pha,"different, strange "
pha ra,different 
phai,must
phak,"to arrest, put in jail "
hnma phak,jail
pham,blood
phang,to roast on spit 
pơyang phang,hot dry season
phanh,of crossbow to go off by itself 
phao,"gun, cannon "
phat,type of bamboo
phăl,"thoughtful, helpful; to invite"
phăt,stuffed when eating 
phe,husked rice 
phei,otter 
phep,polite permission  
phĕt,"feast, festival"
phễ,to describe something breaking 
phi phu,noise of blowing on fire 
phiang,to describe the way someone jumps on to something 
phiang,of hair to be all over the place 
phiỡl,light in weight
phĭ,to be satisfied full when eating
phong,"""why do you keep on doing it?"""
phŏ,"sometimes, if, when "
phŏ phŏ,sometimes 
phŏn,told you so
phỗt-phông,high in the sky
phơu,to indicate many children talking and yelling
phỡk,mold
phỡt ,to describe noise or way something breaks
"phu, 'bâu phu","pleasant smell, fragrant"
phu ,results of wind blowing
phuch,to be startled from almost falling
phuŏng,to be able to think well keen
"phuơ, phuơ-phua-ma",noise and manner of something being poured out
phur,"to roast bananas, tubers in fire"
phŭch,to almost hit the target barely miss
phŭi,of cooked sweet potato to be very dry
phŭk,to describe the sound of something with shell breaking
phŭr,to describe a bird flying off suddenly when disturbed 
pial ,"to eat slowly, eat a little"
piang,hair all over the place unruly hair
piêt,facial expression indicating unbelief
pih,to wash clothes 
pik ,to apply paint medicine
piưch,to describe the way one eats soft food such as raisins 
pĭk ,to describe the way someone stumbles and falls
pla,the flame of a fire
plah,to separate man from wife or not let a couple marry
plaih,a measurement from tip of of one arm to tip of of other arm 
plang ,to give politely; to invite someone to marry your daughter
plă,"but, instead"
pleh,to free as from a trap
plei,fruit
plek,to open up eye to look in
plep,of an elephant to roar 
plĕch,to deceive 
plĕl,to twist the of someone else
plĕn,of domestic animals to not be able to produce offspring
plĕnh,"sky, heavens"
plên,"of pigs to be large, full grown"
"plên, pă plên","should, at least"
plêr-plar,"to shine brightly, light, fire, sun"
plễ,sound and manner of something like mud hitting a surface
plih,"to change, move"
"plim, măt plim",night-blindness
"pling, măt pling","crosseyed, cockeyed"
"pliơng, măt pliơng","crosseyed, cockeyed"
plĭnh plĭnh,to be very slippery; to do something strange
ploi,to pass get ahead of
plok,"to jump over in copying, weaving"
plŏ,"to skin animal, peel fruit"
plŏk,description of a person descending ladder quickly
plŏng,to jump
plôl,to be farther than
plơih,to open 
plơm,smaller sized leech that lives on land
plơm plok,type of leech that crawls along inside skin
plỡ,to turn over upside down to deceive betray
plỡng,"different, new"
plỡp,plop
pluơh,to break off easily come out easily
plui,gourd
pluơh,to finally arrive to come out of
pluơk,to describe person coming out of house walking slowly
plŭk,"the sound of jumping, to appear suddenly"
plŭn,tadpole
plŭng,"canoe, small boat"
plŭt,to indicate the quick action of someone going out of somewhere or going in
plữ,skin hanging loose from wound
poch,one type of climbing (not main verb for climb) 
poh ,to peel off 
poh ,trap with sharp stakes
poh yă,waves (in sea)
"pok, tep pok",to sleep late 
pong ,to not be angry at
por,cooked rice
pôh,of deer to bark
pôi,stack of weeds
"pôih, plei pôih",calf of leg
pôk,to hold on lap to carry or hold in front of body
pôk,to put a person in a higher position politically
pôm,classifier which goes with one only (not for plural) 
pôm,"only, all of one kind only one"
pông,"to rise up as dough, rice, ball being inflated "
pỗ,close friend with special contract or pact also used in addressing father-in-law and mother-in-law of one son or daughter 
pỗt,a blue bird with call like its name 
pơang,"to praise, make known"
pơang akâu kơdih,to boast 
pơbĭt,"to be persistent in asking for, to refuse to admit guilt"
pơblŏng-pơblônh-mônh,fire far away and small 
"pơblông, bơblông",large fire
pơblông-pơblang,large fire (intensive form) 
"pơblŭk, bơblŭk",bubbling noise of one drowning 
bơblŭk-bơblăk,intensive of bơblŭk
pơbrŏng,pickled eggplant 
pơbrŏng,"nothing there, completely gone "
"pơbruch, bơbruch",to come out one after another
pơbrŭng,"very many insects, birds"
pơbrŭng-pơbrăng,intensive form pobrŭng
"pơ'beh, pơma pơ'beh",to whisper
pơ'bŏu,to look for by smelling as dog after prey
pơ'brơh,to be impolite mean obnoxious
pơchah,of glass and similar material to break
pơchă,to make one person angry at another by saying the other person said bad things about him
pơcher,to crowd in persistently
pơchĕ,"to lie, fool"
pơchê,to belittle insult
pơchoh,to take lid off
pơchoh,to plow
"pơchơt, bơngai pơchơt","a person who makes people laugh, have fun"
pơda,rainbow
pơda,to die by an accident
pơda 'năr,sundog
pơdach,continually
pơdanh,not be able to finish
pơdăr,to make to go around as wheel
pơdi,"to do although it is not helpful, doesn't make too much sense"
pơdong,to not bury immediately
pơdor,continually
pơdŏ,to get in order
pơdơh,"to rest, stop work"
pơdỡm,"to catch animals, trap animals"
pơdỡng,"to make inanimate, stand up"
pơdrĕo,to give back 
pơdro ,to trade buy and sell
pơdrŏng,rich
pơdrỡng,to ask
pơdŭ,"to carry, move things"
pơdŭk,stomach (organ where food first enters body)
pơdŭk,to do hard and continually
pơdŭng,to pull against each other or against something
pơđam,to aim
pơđang,"to be up, lie with face up"
pơđă,to guess
pơđăm,five
pơđăng,to heat for a long time
pơđăp,"to meet, discuss plan to do something"
pơđe,to describe an egg which does not produce a chick but rots 
pơđep,to make to obey 
pơđĕch,to do quickly 
pơđik,to do with all one force 
pơđik,to have gas on one's stomach 
pơđĭ,"to finish off all of something; all, completely"
pơđĭch,to enslave 
"pơđoh, pơđôh",to explode 
pơđŏu,to meet and discuss 
pơđông,to make to float in water or air 
pơđơu-pơđao-mao,noise of many people talking
pơđỡk,to speak poetically 
pơđỡm,a small fresh water fish 
pơep,to make to obey subjugate 
pơgang,"medicine, potions (including magic potions) "
pơgar,garden 
pơgăl,"to offend, to delay someone, interrupt"
pơgăn,to prevent from moving
pơma pơgăn,to interrupt 
pơgê,morning 
pơgiĕk,to hurry up someone
pơgiỡ,to give things to a dead person
pơgiỡng,to make
pơgiỡng chư,to spell
pơgir,to keep on trying to get someone to do something
pơglang,of sticks to cross each other 
'long pơglang,a cross
pơgling,to not give attention when called
pơglŏng,to stare at
pơgŏ,to compel
"pơgŏu, pơgâu",stand to set pots on over fire 
pơgỡ,to want something and yet not take it when given
pơgỡm,to cheat
pơgỡm,a type of large pigeon
pơgỡr,to rule govern
pơgỡt,to control oneself 
pơgră,intensifier
pơgre,to argue continually
pơgrong,continually
pơgrôi,to keep on sleeping even though you know you should be up 
pơh ,shortened form of word for seven 
pơhiar,to smooth out something led to open wide
Pơhlăng,"French, France"
pơhlŭ,"to entice, tempt"
pơhmat,very difficult trying hardship
pơhmat-tat,emphatic form pơhmat
pơhnă,chisel 
pơhngol,soul
pơhnhŏng,to point crossbow gun at someone mistakenly
pơhrat,"to offend, used in a polite expression to ask for help "
pơhrăm,to study 
pơhrăp,to make to eat or do to one's full (sometimes with bad connotation)
pơhre,"to owe, be in debt to"
pơhrôp,to dress up fancy
pơhrơ,"to disturb, bother"
pohrŭk,to put on someone's clothes for him
pơhuach,"to spend all one's money to, empty something until a little left"
pơhucg,to help someone drink water 
pơiĕng,"to tease, to make angry"
pơja,a fox-like animal 
pơjah,to argue
pơjah pơjăng,emphatic expression for arguing 
pơjao,"to transfer, to commit to "
pơjăm,"to belittle, insult "
pơjăng,to resist 
pơjei,"to try to win, to have a contest "
"pơjek, pơgiĕk",to make someone hurry up
pơjrĕng,side by side
pơjing,"to make, create "
pơjĭ,"to hurt, make sick "
"pơjŏu, pơjâu",shaman 
pơjô,to ripen already picked fruit 
pơjrot-pơjrot băl,to vie with one another
pơjuang,to speak indirectly (through figures) to get one's point across often in
pơjuă,"to make subservient to, to insult"
pơjuăl,"to hinder, bother; to eat something bad and good at the same time"
pơjuỡ,"to stamp on, to crush"
pơ'jre,to cut straight carefully
pơkao,flower
